id,name,temp_avg,temp_max,temp_min,date_time
370,DW2642,34.833333333333336,36.1,32.8,2021-03-25
371,E20EHQ-13,30.900000000000002,32.2,29.4,2021-03-25
372,E21DII-4,-54.800000000000004,-30.6,-69.4,2021-03-25
374,E21TMW-3,31.633333333333336,33.3,29.4,2021-03-25
375,E22ERY-2,37.6,37.8,37.2,2021-03-25
377,E23GYM-1,36.333333333333336,36.7,35.6,2021-03-25
378,E23HMS-1,-17.8,-17.8,-17.8,2021-03-25
379,E23JWE-1,32.93333333333333,33.3,32.2,2021-03-25
380,E24CI-1,30.2,31.7,28.3,2021-03-25
381,E24OWX-1,38.86666666666667,40.0,37.2,2021-03-25
382,E24OWX-2,31.866666666666664,35.6,28.3,2021-03-25
384,E24QND-1,33.5,34.4,31.7,2021-03-25
385,E24TVS-1,34.26666666666667,37.2,30.6,2021-03-25
386,E24TVS-2,33.33333333333333,33.9,32.8,2021-03-25
387,E24YPM-1,34.06666666666666,34.4,33.9,2021-03-25
389,E25HA-1,36.300000000000004,37.8,33.9,2021-03-25
391,E27ASY-4,37.233333333333334,40.6,32.8,2021-03-25
393,E27HCD-1,35.733333333333334,37.2,33.3,2021-03-25
394,E27HUQ-3,34.06666666666667,35.0,32.8,2021-03-25
395,E28UY-13,36.699999999999996,37.8,35.6,2021-03-25
396,E29AE-8,32.2,32.2,32.2,2021-03-25
397,E29RZQ,30.933333333333334,35.0,28.9,2021-03-25
398,E29WWT-2,33.333333333333336,36.1,28.9,2021-03-25
399,EW4214,34.1,36.7,30.6,2021-03-25
400,FW0368,35.0,36.1,32.8,2021-03-25
401,FW1926,32.76666666666666,33.9,31.1,2021-03-25
402,FW6985,31.5,32.8,30.0,2021-03-25
403,HS0QKD-2,32.8,32.8,32.8,2021-03-25
404,HS0QKD-3,33.5,34.4,32.2,2021-03-25
405,HS0QKD-4,45.0,45.0,45.0,2021-03-25
406,HS0ZGD-1,36.63333333333333,38.3,33.3,2021-03-25
407,HS1AL-10,40.36666666666667,41.1,39.4,2021-03-25
409,HS1FVL-10,32.23333333333333,32.8,31.1,2021-03-25
410,HS1HTW-2,35.36666666666667,36.7,33.3,2021-03-25
411,HS1IFU-13,30.766666666666666,32.8,26.7,2021-03-25
412,HS1MHE-1,39.666666666666664,40.6,37.8,2021-03-25
413,HS2AB-10,37.23333333333333,38.9,35.0,2021-03-25
414,HS2AR-10,31.266666666666666,33.3,28.3,2021-03-25
416,HS2KYA-1,32.43333333333333,32.8,31.7,2021-03-25
417,HS2KYA-5,30.0,30.0,30.0,2021-03-25
418,HS2PQV-1,36.300000000000004,37.2,35.0,2021-03-25
420,HS2UJE-10,31.866666666666664,33.9,30.0,2021-03-25
421,HS2XQB-3,29.26666666666667,31.1,25.6,2021-03-25
422,HS3AK-10,34.03333333333333,34.4,33.3,2021-03-25
423,HS3AU-10,33.3,33.3,33.3,2021-03-25
424,HS3ICB-2,36.333333333333336,36.7,35.6,2021-03-25
425,HS3LIQ-2,45.0,45.6,44.4,2021-03-25
427,HS3LSE-5,35.2,36.7,32.8,2021-03-25
428,HS3MXC-2,35.733333333333334,37.2,33.3,2021-03-25
429,HS3NOQ-12,33.5,34.4,32.2,2021-03-25
430,HS3NOQ-2,33.666666666666664,34.4,32.2,2021-03-25
431,HS3PIK-2,38.333333333333336,41.7,34.4,2021-03-25
432,HS3PKX-1,32.233333333333334,32.8,31.7,2021-03-25
433,HS3PQJ-1,38.86666666666667,40.0,37.2,2021-03-25
435,HS3PQJ-3,33.9,36.1,30.0,2021-03-25
436,HS3RVL-3,33.9,35.6,31.1,2021-03-25
437,HS4AC-10,36.333333333333336,36.7,35.6,2021-03-25
438,HS4AP-10,35.56666666666667,36.7,33.9,2021-03-25
439,HS4LWD-1,32.4,34.4,28.9,2021-03-25
440,HS4RAY-1,35.36666666666667,37.2,31.7,2021-03-25
443,HS4YYZ-1,35.733333333333334,37.2,33.3,2021-03-25
444,HS5AC-10,38.166666666666664,38.9,36.7,2021-03-25
445,HS5AM-10,40.2,41.7,37.8,2021-03-25
446,HS5FXK,35.36666666666667,36.7,33.3,2021-03-25
448,HS5GDX-1,35.93333333333334,36.1,35.6,2021-03-25
449,HS5GDX-2,32.23333333333333,33.3,30.6,2021-03-25
450,HS5SQI-1,35.53333333333333,36.1,34.4,2021-03-25
451,HS5WFI-13,34.833333333333336,36.7,31.1,2021-03-25
453,HS5ZEZ-1,33.13333333333333,33.3,32.8,2021-03-25
454,HS6AB-10,36.666666666666664,37.2,36.1,2021-03-25
455,HS6NYW-3,44.46666666666667,46.1,41.7,2021-03-25
456,HS6TUX,38.13333333333333,39.4,36.1,2021-03-25
457,HS7AJ-10,35.56666666666667,36.7,33.9,2021-03-25
459,HS7AP-10,36.13333333333333,38.9,31.7,2021-03-25
460,HS7AT-11,34.23333333333334,37.2,29.4,2021-03-25
462,HS8AK-10,36.46666666666667,37.8,34.4,2021-03-25
463,HS8AT-10,37.4,38.3,35.6,2021-03-25
464,HS8INB-1,32.23333333333333,32.8,31.1,2021-03-25
466,HS8KAY,34.63333333333333,35.0,33.9,2021-03-25
467,HS8KF-10,36.666666666666664,37.8,35.0,2021-03-25
468,HS9AN-10,27.03333333333333,27.2,26.7,2021-03-25
470,HS9AT-10,33.300000000000004,34.4,31.1,2021-03-25
471,HS5FXK-2,35.6,35.6,35.6,2021-03-25
472,HS7AM-10,32.8,32.8,32.8,2021-03-25
408,HS1AN-10,35.0,35.0,35.0,2021-03-24
